m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5095, 8062, 1, 2.33, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2040, 8062, 1, 4.27, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2040, 8062, 1, 0.69, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 8062, 1, 3.67, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2040, 8062, 1, 0.78, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 2040, 8062, 1, 0.24, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 8062, 1, 47.52, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 2040, 8062, 1, 1.59, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2040, 8062, 1, 21.24, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 8062, 1, 25.64, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5085, 8062, 1, 4.13, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 8062, 1, 22.04, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5085, 8062, 1, 4.66, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5085, 8062, 1, 1.44, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 8062, 1, 285.20, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 5085, 8062, 1, 9.55, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5085, 8062, 1, 127.48, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 7955, 1, 23.43, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 7955, 1, 5.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 7955, 1, 30.43, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 2045, 7955, 1, 0.44, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2045, 7955, 1, 0.44, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 7955, 1, 22.73, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 7955, 1, 5.10, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 7955, 1, 29.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 5087, 7955, 1, 0.42, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5087, 7955, 1, 0.42, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5080, 7955, 1, 5.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 7955, 1, 1.14, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 7955, 1, 6.60, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 5080, 7955, 1, 0.09, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5080, 7955, 1, 0.09, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5095, 7955, 1, 3.42, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 7955, 1, 0.77, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 7955, 1, 4.45, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 5095, 7955, 1, 0.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5095, 7955, 1, 0.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2040, 7955, 1, 169.87, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 7955, 1, 38.11, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 7955, 1, 220.66, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 2040, 7955, 1, 3.18, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2040, 7955, 1, 3.18, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 7955, 1, 508.20, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 7955, 1, 114.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 7955, 1, 660.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 5085, 7955, 1, 9.50, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5085, 7955, 1, 9.50, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2041, 7955, 1, 8.64, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2041, 7955, 1, 1.94, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2041, 7955, 1, 11.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 151, 2041, 7955, 1, 0.16, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2041, 7955, 1, 0.16, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2045, 8095, 1, 0.61, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 8095, 1, 2.53, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 8095, 1, 6.86, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5087, 8095, 1, 1.65, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 8095, 1, 6.85, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 8095, 1, 18.56, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5085, 8095, 1, 0.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 8095, 1, 0.25, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 8095, 1, 0.69, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5080, 8095, 1, 0.79, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 8095, 1, 3.29, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 8095, 1, 8.92, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5095, 8095, 1, 0.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 8095, 1, 2.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 8095, 1, 6.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2040, 8095, 1, 4.89, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 8095, 1, 20.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 8095, 1, 54.85, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5085, 8095, 1, 23.45, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 8095, 1, 97.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 8095, 1, 263.13, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2041, 8095, 1, 0.39, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2041, 8095, 1, 1.64, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2041, 8095, 1, 4.43, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 7973, 1, 4.92, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 7973, 1, 8.36, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2045, 7973, 1, 0.37, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 7973, 1, 7.62, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2045, 7973, 1, 3.57, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2045, 7973, 1, 5.16, 0.00
